SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
10.28504141,-10.26924242,-47.63815529,350,1.2178564,10,17240.03487,31.58866328,0.3655764,15.93764775,0.856903808,5.2,6
10.31008413,-10.7818926,-47.68275577,342,0.92740995,10,17162.78512,30.23170934,0.5807604,16.9390963,0.846838396,5.5,6
10.38137628,-10.84002503,-47.43623178,346,0.7192045,10,17821.09332,33.48680372,0.40946877,15.34986109,0.870983554,5.5,6
10.40783424,-10.93707231,-48.1210403,264,0.4597217,10,17680.72831,30.25221746,0.5199844,18.26763182,0.846990518,5.4,6
10.51339171,-13.15235257,-47.68906935,351,0.9355008,10,15388.17609,33.6827702,0.46838716,15.61222535,0.872437165,5.3,6
10.61864156,-11.69849604,-47.10949684,388,0.53293645,10,17053.93657,34.87679852,0.39772087,17.32394212,0.881294052,5.5,6
10.62579847,-10.63362883,-47.66492239,368,1.7003553,10,17290.14548,26.02583573,0.48857185,16.09179843,0.815640688,5.2,6
10.62745347,-9.805201759,-46.85644802,369,0.6606829,10,16549.7867,36.57555446,0.346591,16.26615182,0.893894833,5.5,6
10.63509245,-10.88317684,-48.43036795,218,0.2283806,10,17945.41074,34.95370397,0.40566278,24.45821303,0.88186451,5.6,6
10.69997966,-10.32356953,-47.81162391,335,0.31898612,10,17904.88568,24.91668824,0.38926396,14.43357036,0.807413417,5.2,6
10.77796498,-10.55808064,-47.8889557,325,1.4301251,10,17636.11904,30.97000166,0.4211255,17.33773544,0.852314791,5.4,6
10.88609589,-10.4293838,-47.73453387,382,1.0237018,10,17613.05762,31.40750822,0.43013635,19.20425498,0.855560063,5.4,6
10.93265058,-11.02265033,-48.02942482,285,0.7000261,10,17816.08813,35.26417412,0.362138,17.99603589,0.88416747,5.5,6
10.99729172,-11.02875167,-47.25340822,386,0.6619984,10,17554.29805,36.57213644,0.37521383,19.31447655,0.893869479,5.4,6
11.06677868,-11.09061871,-48.39798495,369,1.4709024,10,17955.82104,25.15424063,0.4367153,14.43357036,0.809175498,5.4,6
11.30494379,-12.87811574,-49.51661691,252,0.1595836,10,16609.00567,36.43570048,0.44035986,16.41457183,0.892857445,5.3,6
11.55614221,-9.90978232,-48.17502891,568,1.8371987,10,18519.35635,30.1906931,0.44948158,15.24450057,0.846534151,5.1,6
11.79750226,-12.71582601,-49.16797065,270,0.44258192,10,16942.84401,36.28331375,0.39453742,15.12671754,0.891727093,5.4,6
12.08302163,-12.32276808,-48.595334,265,0.27957287,10,16969.99067,38.55857573,0.31165922,17.57987549,0.908604195,5.5,6
12.09078219,-12.45706949,-49.14162671,284,1.0116674,10,16574.99098,37.57874333,0.36020583,15.44517127,0.901336139,5.3,6
